_time,_value,_field,_measurement,day,month,station,year
2023-07-14 19:00:00+00:00,23.2,mean_temperature,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,9.2,mean_wind_speed,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,21.8,minimum_temperature,Daily Weather Conditions,1,3,Admiralty,2023
2023-07-14 19:00:00+00:00,2.4,daily_rainfall_total,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,2.2,highest_120min_rainfall,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,2.0,highest_30min_rainfall,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,2.2,highest_60min_rainfall,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,30.9,max_wind_speed,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,32.8,maximum_temperature,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,27.0,mean_temperature,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,7.0,mean_wind_speed,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,25.0,minimum_temperature,Daily Weather Conditions,1,4,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,29.1,max_wind_speed,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,34.2,maximum_temperature,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,29.2,mean_temperature,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,8.8,mean_wind_speed,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,25.6,minimum_temperature,Daily Weather Conditions,1,5,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,daily_rainfall_total,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_120min_rainfall,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_30min_rainfall,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,0.0,highest_60min_rainfall,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,26.7,max_wind_speed,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,32.9,maximum_temperature,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,27.4,mean_temperature,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,6.8,mean_wind_speed,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,25.0,minimum_temperature,Daily Weather Conditions,10,1,Admiralty,2023
2023-07-14 19:00:00+00:00,28.6,daily_rainfall_total,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,25.2,highest_120min_rainfall,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,12.0,highest_30min_rainfall,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,14.0,highest_60min_rainfall,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,41.1,max_wind_speed,Daily Weather Conditions,10,10,Admiralty,2022
2023-07-14 19:00:00+00:00,28.9,maximum_temperature,Daily Weather Conditions,10,10,Admiralty,2022
